"PLAN_CARRIER_CODE","PLAN_FLIGHT_NUMBER","PLAN_FLIGHT_NUMBER_CHAR4","PLAN_FLIGHT_SEQ_NUMBER","PLAN_DEPARTURE_DATETIME_LOCAL","PLAN_DEPARTURE_DATE_LOCAL","PLAN_DEPARTURE_TIME_LOCAL","PLAN_DEPARTURE_DATETIME_UTC","PLAN_DEPARTURE_DATE_UTC","PLAN_DEPARTURE_TIME_UTC","PLAN_ARRIVAL_DATETIME_LOCAL","PLAN_ARRIVAL_DATE_LOCAL","PLAN_ARRIVAL_TIME_LOCAL","PLAN_ARRIVAL_DATETIME_UTC","PLAN_ARRIVAL_DATE_UTC","PLAN_ARRIVAL_TIME_UTC","PLAN_DEPARTURE_STATION","PLAN_ARRIVAL_STATION","PLAN_START_OF_OPERATION","PLAN_END_OF_OPERATION","PLAN_DAYS_OF_OPERATION","PLAN_AC_OWNER","PLAN_SERVICE_TYPE","PLAN_AC_TYPE"
"AY",1691,"1691","01",25.11.2017 06:00:00,25.11.2017 00:00:00,01.01.1900 06:00:00,25.11.2017 04:00:00,25.11.2017 00:00:00,01.01.1900 04:00:00,25.11.2017 10:30:00,25.11.2017 00:00:00,01.01.1900 10:30:00,25.11.2017 10:30:00,25.11.2017 00:00:00,01.01.1900 10:30:00,"HEL","TFS",01.11.2017 00:00:00,24.03.2018 00:00:00,"  3  6 ","AY","J","32B"
"AY",1681,"1681","01",25.11.2017 06:00:00,25.11.2017 00:00:00,01.01.1900 06:00:00,25.11.2017 04:00:00,25.11.2017 00:00:00,01.01.1900 04:00:00,25.11.2017 09:40:00,25.11.2017 00:00:00,01.01.1900 09:40:00,25.11.2017 08:40:00,25.11.2017 00:00:00,01.01.1900 08:40:00,"HEL","AGP",30.10.2017 00:00:00,04.12.2017 00:00:00,"1 3 56 ","AY","J","32B"
"AY",152,"0152","01",25.11.2017 11:55:00,25.11.2017 00:00:00,01.01.1900 11:55:00,25.11.2017 04:55:00,25.11.2017 00:00:00,01.01.1900 04:55:00,25.11.2017 18:05:00,25.11.2017 00:00:00,01.01.1900 18:05:00,25.11.2017 16:05:00,25.11.2017 00:00:00,01.01.1900 16:05:00,"HKT","HEL",04.11.2017 00:00:00,24.03.2018 00:00:00,"     6 ","AY","J","359"
"AY",122,"0122","01",25.11.2017 10:35:00,25.11.2017 00:00:00,01.01.1900 10:35:00,25.11.2017 05:05:00,25.11.2017 00:00:00,01.01.1900 05:05:00,25.11.2017 14:45:00,25.11.2017 00:00:00,01.01.1900 14:45:00,25.11.2017 12:45:00,25.11.2017 00:00:00,01.01.1900 12:45:00,"DEL","HEL",22.11.2017 00:00:00,28.11.2017 00:00:00," 23  67","AY","J","333"
"AY",1571,"1571","01",25.11.2017 07:35:00,25.11.2017 00:00:00,01.01.1900 07:35:00,25.11.2017 05:35:00,25.11.2017 00:00:00,01.01.1900 05:35:00,25.11.2017 09:40:00,25.11.2017 00:00:00,01.01.1900 09:40:00,25.11.2017 08:40:00,25.11.2017 00:00:00,01.01.1900 08:40:00,"HEL","CDG",29.10.2017 00:00:00,24.12.2017 00:00:00,"1234567","AY","J","32B"
"AY",1411,"1411","01",25.11.2017 07:40:00,25.11.2017 00:00:00,01.01.1900 07:40:00,25.11.2017 05:40:00,25.11.2017 00:00:00,01.01.1900 05:40:00,25.11.2017 09:20:00,25.11.2017 00:00:00,01.01.1900 09:20:00,25.11.2017 08:20:00,25.11.2017 00:00:00,01.01.1900 08:20:00,"HEL","FRA",21.11.2017 00:00:00,25.11.2017 00:00:00," 23  6 ","AY","J","319"
"AY",1431,"1431","01",25.11.2017 07:45:00,25.11.2017 00:00:00,01.01.1900 07:45:00,25.11.2017 05:45:00,25.11.2017 00:00:00,01.01.1900 05:45:00,25.11.2017 08:40:00,25.11.2017 00:00:00,01.01.1900 08:40:00,25.11.2017 07:40:00,25.11.2017 00:00:00,01.01.1900 07:40:00,"HEL","TXL",25.11.2017 00:00:00,25.11.2017 00:00:00,"     6 ","AY","J","320"
"AY",531,"0531","01",25.11.2017 07:45:00,25.11.2017 00:00:00,01.01.1900 07:45:00,25.11.2017 05:45:00,25.11.2017 00:00:00,01.01.1900 05:45:00,25.11.2017 09:05:00,25.11.2017 00:00:00,01.01.1900 09:05:00,25.11.2017 07:05:00,25.11.2017 00:00:00,01.01.1900 07:05:00,"HEL","RVN",25.11.2017 00:00:00,25.11.2017 00:00:00,"     6 ","AY","J","32B"
"AY",1931,"1931","01",25.11.2017 07:50:00,25.11.2017 00:00:00,01.01.1900 07:50:00,25.11.2017 05:50:00,25.11.2017 00:00:00,01.01.1900 05:50:00,25.11.2017 12:35:00,25.11.2017 00:00:00,01.01.1900 12:35:00,25.11.2017 09:35:00,25.11.2017 00:00:00,01.01.1900 09:35:00,"HEL","GZP",04.11.2017 00:00:00,09.12.2017 00:00:00,"     6 ","AY","J","320"
"AY",1511,"1511","01",25.11.2017 07:55:00,25.11.2017 00:00:00,01.01.1900 07:55:00,25.11.2017 05:55:00,25.11.2017 00:00:00,01.01.1900 05:55:00,25.11.2017 09:45:00,25.11.2017 00:00:00,01.01.1900 09:45:00,25.11.2017 08:45:00,25.11.2017 00:00:00,01.01.1900 08:45:00,"HEL","ZRH",18.11.2017 00:00:00,25.11.2017 00:00:00,"   4 6 ","AY","J","319"
"AY",801,"0801","01",25.11.2017 08:00:00,25.11.2017 00:00:00,01.01.1900 08:00:00,25.11.2017 06:00:00,25.11.2017 00:00:00,01.01.1900 06:00:00,25.11.2017 08:00:00,25.11.2017 00:00:00,01.01.1900 08:00:00,25.11.2017 07:00:00,25.11.2017 00:00:00,01.01.1900 07:00:00,"HEL","ARN",18.11.2017 00:00:00,25.11.2017 00:00:00,"1  456 ","AY","J","321"
"AY",1331,"1331","01",25.11.2017 08:00:00,25.11.2017 00:00:00,01.01.1900 08:00:00,25.11.2017 06:00:00,25.11.2017 00:00:00,01.01.1900 06:00:00,25.11.2017 09:10:00,25.11.2017 00:00:00,01.01.1900 09:10:00,25.11.2017 09:10:00,25.11.2017 00:00:00,01.01.1900 09:10:00,"HEL","LHR",29.10.2017 00:00:00,24.12.2017 00:00:00,"1234567","AY","J","359"
"AY",1699,"1699","01",25.11.2017 08:05:00,25.11.2017 00:00:00,01.01.1900 08:05:00,25.11.2017 06:05:00,25.11.2017 00:00:00,01.01.1900 06:05:00,25.11.2017 12:20:00,25.11.2017 00:00:00,01.01.1900 12:20:00,25.11.2017 12:20:00,25.11.2017 00:00:00,01.01.1900 12:20:00,"HEL","ACE",04.11.2017 00:00:00,24.03.2018 00:00:00,"     6 ","AY","J","32B"
"AY",1751,"1751","01",25.11.2017 08:05:00,25.11.2017 00:00:00,01.01.1900 08:05:00,25.11.2017 06:05:00,25.11.2017 00:00:00,01.01.1900 06:05:00,25.11.2017 10:10:00,25.11.2017 00:00:00,01.01.1900 10:10:00,25.11.2017 09:10:00,25.11.2017 00:00:00,01.01.1900 09:10:00,"HEL","MXP",19.11.2017 00:00:00,26.11.2017 00:00:00,"     67","AY","J","320"
"AY",1301,"1301","01",25.11.2017 08:15:00,25.11.2017 00:00:00,01.01.1900 08:15:00,25.11.2017 06:15:00,25.11.2017 00:00:00,01.01.1900 06:15:00,25.11.2017 09:55:00,25.11.2017 00:00:00,01.01.1900 09:55:00,25.11.2017 08:55:00,25.11.2017 00:00:00,01.01.1900 08:55:00,"HEL","AMS",29.10.2017 00:00:00,24.12.2017 00:00:00,"1234567","AY","J","32B"
"AY",861,"0861","01",25.11.2017 08:25:00,25.11.2017 00:00:00,01.01.1900 08:25:00,25.11.2017 06:25:00,25.11.2017 00:00:00,01.01.1900 06:25:00,25.11.2017 08:55:00,25.11.2017 00:00:00,01.01.1900 08:55:00,25.11.2017 07:55:00,25.11.2017 00:00:00,01.01.1900 07:55:00,"HEL","GOT",29.10.2017 00:00:00,24.03.2018 00:00:00,"     67","AY","J","319"
