AE,Al ‘Ayn al Ghumūr,Al ‘Ayn al Ghumūr,Al ‘Ayn al Ghumūr,292911,folkesett stad,befolket sted,populated place,Dei sameinte arabiske emirata,De forente arabiske emirater,United Arab Emirates,0,24.95951,56.31585,83,http://www.yr.no/place/United_Arab_Emirates/Other/Al_‘Ayn_al_Ghumūr/forecast.xml
AE,Al Arḑīyah,Al Arḑīyah,Al Arḑīyah,292917,folkesett stad,befolket sted,populated place,Dei sameinte arabiske emirata,De forente arabiske emirater,United Arab Emirates,0,25.27663,56.31675,307,http://www.yr.no/place/United_Arab_Emirates/Other/Al_Arḑīyah/forecast.xml
AE,Būbādī,Būbādī,Būbādī,394082,folkesett stad,befolket sted,populated place,Dei sameinte arabiske emirata,De forente arabiske emirater,United Arab Emirates,0,24.8447,55.97887,321,http://www.yr.no/place/United_Arab_Emirates/Other/Būbādī/forecast.xml
AE,Dubai,Dubai,Dubai,292223,regionshovudstad,regionshovedstad,regional capital,Dei sameinte arabiske emirata,De forente arabiske emirater,United Arab Emirates,1137347,25.25817,55.30472,12,http://www.yr.no/place/United_Arab_Emirates/Dubai/Dubai/forecast.xml
AE,Abu Dhabi,Abu Dhabi,Abu Dhabi,292968,Hovudstad,Hovedstad,capital,Dei sameinte arabiske emirata,De forente arabiske emirater,United Arab Emirates,603492,24.46667,54.36667,14,http://www.yr.no/place/United_Arab_Emirates/Abu_Dhabi/Abu_Dhabi/forecast.xml
AE,Sharjah,Sharjah,Sharjah,292672,regionshovudstad,regionshovedstad,regional capital,Dei sameinte arabiske emirata,De forente arabiske emirater,United Arab Emirates,543733,25.35731,55.4033,20,http://www.yr.no/place/United_Arab_Emirates/Sharjah/Sharjah/forecast.xml
AE,Al ‘Ayn,Al ‘Ayn,Al Ain,292913,by,by,city,Dei sameinte arabiske emirata,De forente arabiske emirater,United Arab Emirates,408733,24.19167,55.76056,280,http://www.yr.no/place/United_Arab_Emirates/Abu_Dhabi/Al_Ain/forecast.xml
AE,Ajman,Ajman,Ajman,292932,regionshovudstad,regionshovedstad,regional capital,Dei sameinte arabiske emirata,De forente arabiske emirater,United Arab Emirates,226172,25.41111,55.43504,16,http://www.yr.no/place/United_Arab_Emirates/Ajman/Ajman/forecast.xml
AE,Abu Dhabi,Abu Dhabi,Abu Dhabi,292968,Hovudstad,Hovedstad,capital,Dei sameinte arabiske emirata,De forente arabiske emirater,United Arab Emirates,603492,24.46667,54.36667,14,http://www.yr.no/place/United_Arab_Emirates/Abu_Dhabi/Abu_Dhabi/forecast.xml
AE,Al ‘Ayn,Al ‘Ayn,Al Ain,292913,by,by,city,Dei sameinte arabiske emirata,De forente arabiske emirater,United Arab Emirates,408733,24.19167,55.76056,280,http://www.yr.no/place/United_Arab_Emirates/Abu_Dhabi/Al_Ain/forecast.xml
AE,Z̧uwayhir,Z̧uwayhir,Z̧uwayhir,290400,folkesett stad,befolket sted,populated place,Dei sameinte arabiske emirata,De forente arabiske emirater,United Arab Emirates,0,23.28333,53.2,170,http://www.yr.no/place/United_Arab_Emirates/Abu_Dhabi/Z̧uwayhir~290400/forecast.xml
AE,Z̧uwayhir,Z̧uwayhir,Z̧uwayhir,290401,folkesett stad,befolket sted,populated place,Dei sameinte arabiske emirata,De forente arabiske emirater,United Arab Emirates,0,23.13916,53.6934,104,http://www.yr.no/place/United_Arab_Emirates/Abu_Dhabi/Z̧uwayhir~290401/forecast.xml
AE,Z̧afīr,Z̧afīr,Z̧afīr,290454,folkesett stad,befolket sted,populated place,Dei sameinte arabiske emirata,De forente arabiske emirater,United Arab Emirates,0,23.12732,53.75439,198,http://www.yr.no/place/United_Arab_Emirates/Abu_Dhabi/Z̧afīr/forecast.xml
AE,Ajman,Ajman,Ajman,292932,regionshovudstad,regionshovedstad,regional capital,Dei sameinte arabiske emirata,De forente arabiske emirater,United Arab Emirates,226172,25.41111,55.43504,16,http://www.yr.no/place/United_Arab_Emirates/Ajman/Ajman/forecast.xml
AE,Suhaylah,Suhaylah,Suhaylah,286280,folkesett stad,befolket sted,populated place,Dei sameinte arabiske emirata,De forente arabiske emirater,United Arab Emirates,0,24.80388,56.19449,238,http://www.yr.no/place/United_Arab_Emirates/Ajman/Suhaylah/forecast.xml
AE,Şufayrī,Şufayrī,Şufayrī,290729,folkesett stad,befolket sted,populated place,Dei sameinte arabiske emirata,De forente arabiske emirater,United Arab Emirates,0,24.81168,56.12646,309,http://www.yr.no/place/United_Arab_Emirates/Ajman/Şufayrī/forecast.xml
AE,Sinādil,Sinādil,Sinādil,290748,folkesett stad,befolket sted,populated place,Dei sameinte arabiske emirata,De forente arabiske emirater,United Arab Emirates,0,24.81095,56.02511,424,http://www.yr.no/place/United_Arab_Emirates/Ajman/Sinādil/forecast.xml
AE,Sharīyah,Sharīyah,Sharīyah,290823,folkesett stad,befolket sted,populated place,Dei sameinte arabiske emirata,De forente arabiske emirater,United Arab Emirates,0,24.81512,56.0986,319,http://www.yr.no/place/United_Arab_Emirates/Ajman/Sharīyah/forecast.xml
AE,Dubai,Dubai,Dubai,292223,regionshovudstad,regionshovedstad,regional capital,Dei sameinte arabiske emirata,De forente arabiske emirater,United Arab Emirates,1137347,25.25817,55.30472,12,http://www.yr.no/place/United_Arab_Emirates/Dubai/Dubai/forecast.xml
AE,Warīsān,Warīsān,Warīsān,290503,folkesett stad,befolket sted,populated place,Dei sameinte arabiske emirata,De forente arabiske emirater,United Arab Emirates,0,25.16744,55.40708,20,http://www.yr.no/place/United_Arab_Emirates/Dubai/Warīsān/forecast.xml
AE,‘Urqūb Juwayza,‘Urqūb Juwayza,‘Urqūb Juwayza,290546,folkesett stad,befolket sted,populated place,Dei sameinte arabiske emirata,De forente arabiske emirater,United Arab Emirates,0,24.93333,55.46667,102,http://www.yr.no/place/United_Arab_Emirates/Dubai/‘Urqūb_Juwayza/forecast.xml
AE,Umm Suqaym,Umm Suqaym,Umm Suqaym,290581,del av folkesett stad,del av befolket sted,section of populated place,Dei sameinte arabiske emirata,De forente arabiske emirater,United Arab Emirates,0,25.15015,55.20587,26,http://www.yr.no/place/United_Arab_Emirates/Dubai/Umm_Suqaym/forecast.xml
AE,‘Ūd al Bayḑā’,‘Ūd al Bayḑā’,‘Ūd al Bayḑā’,290624,folkesett stad,befolket sted,populated place,Dei sameinte arabiske emirata,De forente arabiske emirater,United Arab Emirates,0,25.01625,55.45533,95,http://www.yr.no/place/United_Arab_Emirates/Dubai/‘Ūd_al_Bayḑā’/forecast.xml
AE,Al Fujayrah,Al Fujayrah,Fujairah,292878,regionshovudstad,regionshovedstad,regional capital,Dei sameinte arabiske emirata,De forente arabiske emirater,United Arab Emirates,62415,25.11641,56.34141,72,http://www.yr.no/place/United_Arab_Emirates/Fujairah/Fujairah/forecast.xml
AE,Zubārah,Zubārah,Zubārah,290409,folkesett stad,befolket sted,populated place,Dei sameinte arabiske emirata,De forente arabiske emirater,United Arab Emirates,0,25.40487,56.35971,,http://www.yr.no/place/United_Arab_Emirates/Fujairah/Zubārah/forecast.xml
AE,Zikt,Zikt,Zikt,290419,folkesett stad,befolket sted,populated place,Dei sameinte arabiske emirata,De forente arabiske emirater,United Arab Emirates,0,25.5118,56.32328,41,http://www.yr.no/place/United_Arab_Emirates/Fujairah/Zikt/forecast.xml
AE,Z̧anḩah,Z̧anḩah,Z̧anḩah,290442,folkesett stad,befolket sted,populated place,Dei sameinte arabiske emirata,De forente arabiske emirater,United Arab Emirates,0,25.5659,56.20217,93,http://www.yr.no/place/United_Arab_Emirates/Fujairah/Z̧anḩah/forecast.xml
AE,Wāsiţ,Wāsiţ,Wāsiţ,290500,folkesett stad,befolket sted,populated place,Dei sameinte arabiske emirata,De forente arabiske emirater,United Arab Emirates,0,25.60698,56.2548,9,http://www.yr.no/place/United_Arab_Emirates/Fujairah/Wāsiţ/forecast.xml
AE,Ra’s al Khaymah,Ra’s al Khaymah,Ra’s al Khaymah,291074,regionshovudstad,regionshovedstad,regional capital,Dei sameinte arabiske emirata,De forente arabiske emirater,United Arab Emirates,115949,25.78953,55.9432,27,http://www.yr.no/place/United_Arab_Emirates/Ras_al-Khaimah/Ra’s_al_Khaymah/forecast.xml
